target,id,date,tweet
1,2065120693,Sun Jun 07 07:56:20 PDT 2009,@miaakoch good luck in the concert 
1,2062854559,Sun Jun 07 00:31:28 PDT 2009,will play JL. Be right back. 
1,1468164662,Tue Apr 07 00:04:05 PDT 2009,@chr15t14n  thanks.
1,2064955151,Sun Jun 07 07:33:57 PDT 2009,@bekasaur thank you so much!!!  nice to meet you!
1,1998007153,Mon Jun 01 17:50:10 PDT 2009,"@RickGershman Totally relate - my mom's a lonely only, so we kids are helping her out with our &quot;nonno&quot;. See? U need to make some kids! "
1,1999930365,Mon Jun 01 21:05:05 PDT 2009,calling it a night...  17 pages so far. it's gonna be a looooooong night tomorrow.  goodnight 
1,1998593577,Mon Jun 01 18:48:29 PDT 2009,There is a Beatles rock band coming out!?!?! 
1,1980829717,Sun May 31 07:46:49 PDT 2009,finally ordered some prospectuses. 
1,1973137765,Sat May 30 10:33:35 PDT 2009,@singswell Thanks buddy 
1,1693268813,Sun May 03 22:02:15 PDT 2009,@mhwendy We went shopping in both places...  How was the concert?
1,1957301044,Fri May 29 00:05:36 PDT 2009,@anexemines If u do find someone... Let me know. 
1,1984565510,Sun May 31 15:21:31 PDT 2009,@maliciousmandy1 exaxtly what I said as if they'd try and get it away from her then 
1,1992312336,Mon Jun 01 08:32:54 PDT 2009,@TinaGray24 &quot;If ya wanna move than move!&quot;-Mims *singin* &quot;Move if ya wanna if ya wanna if ya wanna move!&quot; It's really that simple. Lol! 
1,1791857572,Wed May 13 21:19:30 PDT 2009,and we now have all of freaks and geeks 
1,2177230363,Mon Jun 15 05:43:03 PDT 2009,@kewiki A quik hello/goodmorning to you..have a great Monday! 
1,1564754771,Mon Apr 20 04:48:31 PDT 2009,@weak sweet! I hope our hours of work helped in some way 
1,1881795270,Fri May 22 05:34:36 PDT 2009,"@Clarissa326 no, it makes it Friday evening "
1,1680742093,Sat May 02 12:23:24 PDT 2009,Ok. Now i'm listening to the soundtrack of Mamma Mia in a disused mine  and it's on repeat!
1,2000444855,Mon Jun 01 22:07:51 PDT 2009,is watching The Fugitive w/ my nana &amp; papa and eating a well deserved drumstick! What? My doctor said eat lots of dairy cuz of the meds! 
1,2186409934,Mon Jun 15 18:47:58 PDT 2009,@IAmCristiH what u doing? 
1,1793353713,Thu May 14 02:22:00 PDT 2009,Not much time to get on twitter - board meeting last night and ESL parent night tonight.  Looking forward to weekend ~ to catch up 
1,1992205198,Mon Jun 01 08:22:30 PDT 2009,"Monday Monday, so good to me, Monday Monday, it was all I hoped it would be. Oh Monday morning, Monday morning couldn't guarantee.... "
1,1823870683,Sat May 16 23:15:17 PDT 2009,sooo sleepyy ! but Tonight was a Good night w/ the Bestiess  even got a Christmas giftt Lol
1,2188864474,Mon Jun 15 22:43:31 PDT 2009,"@grimysuspect Haha. Oh, that's good. Me? Well, I love music but I'm not an artist or anything. I wish I was, though. "
1,2182655706,Mon Jun 15 13:27:39 PDT 2009,... we have for Russia's [ Images ] Presidency of the SCO.&quot; It's called whacking the Chinese in diplomees 
1,1986398901,Sun May 31 18:47:01 PDT 2009,Just watched the videoblog from @YouShallNotCast I enjoyed the Jon &amp; Kate Plus 8 reference  check it out!!! http://bit.ly/odutG
1,1976000746,Sat May 30 16:22:16 PDT 2009,@brynnfoley And you? 
1,2066172502,Sun Jun 07 10:01:23 PDT 2009,@1sweetwhirl love your bio...&quot;be real or go home&quot; ...Lol...Most definitely!- Had to follow you 
1,1979458363,Sun May 31 03:08:02 PDT 2009,i'm so...oh! // back 
1,1964990254,Fri May 29 15:08:46 PDT 2009,wish i could take a nap in a hammock.  Jon- cant we install one in our apartment?
1,2185378787,Mon Jun 15 17:17:32 PDT 2009,@mattchu Starbucks gives me a cozy feeling.  Until I order some cappuccino and see $9.00 due on the till.
1,1977343990,Sat May 30 20:45:20 PDT 2009,@Peasinapod Lushes still here -Twitter seems to be having some sort of fit though making tweets...............s....l.....o......w 
1,1994339809,Mon Jun 01 11:47:03 PDT 2009,"@Rosiecosy I know what you mean, &amp; then you have to spend ages unfollowing loads of people :/ my twitter is pretty clean right now though "
1,2190632625,Tue Jun 16 03:17:16 PDT 2009,"@aplusk ...but then again, it's Iraq...the country of unlimited possibilities "
1,2017879981,Wed Jun 03 09:05:36 PDT 2009,@mattdave5710 You did work at Pentagon City right? That was your training ground. 
1,2059479762,Sat Jun 06 17:01:07 PDT 2009,@mfgamers Thanks! 
1,2062732857,Sun Jun 07 00:07:23 PDT 2009,Goodnight. God is good 
1,2191949468,Tue Jun 16 06:15:13 PDT 2009,"@vaclav_pech congrats, I started my 3rd week now "
1,1932969522,Tue May 26 22:39:38 PDT 2009,EATING HAHA!! 
1,1989930812,Mon Jun 01 03:18:35 PDT 2009,@_ophelia awwwww very cute in his pjs 
1,1833464063,Sun May 17 23:22:07 PDT 2009,@relizao if you like 2 laugh..have a good time..follow me..its just that simple 
1,1961193755,Fri May 29 09:07:32 PDT 2009,@dumilewis so you're a historian now? you damn public intellectuals will talk about anything! 
1,1978272627,Sat May 30 22:53:21 PDT 2009,just finished playing Word Challenge at Facebook. got the CEO vocabulary. darn. i wanted to be a poet.. 
1,2016250330,Wed Jun 03 06:26:49 PDT 2009,Web Designing...   business planning...  got fever for 2 days but... fully up by tomorrow!  The show must go on.  
1,1980322000,Sun May 31 06:24:01 PDT 2009,"redone pc, got everything back and itunes works "
1,2190599260,Tue Jun 16 03:11:26 PDT 2009,watching &quot;new again&quot; dvd  matt fazzi is such a cutie.
1,1574045907,Tue Apr 21 04:01:35 PDT 2009,Day two. Just started. 
1,1677843387,Sat May 02 04:17:07 PDT 2009,well last night turned out to be more boring than relaxing haha gona hit the shops today 
1,2058399894,Sat Jun 06 14:51:56 PDT 2009,@Catholiccitizen God bless your soul!!!  He cheers me up all the time-ever need me to cheer you up-let me know-otherwise I'm here!
1,2013524722,Tue Jun 02 22:53:27 PDT 2009,&quot;The old saying is true:'Breaking up is hard to do.' But breaking down is easy to do...&quot; i will not break down. I will stand confident 
1,2061151950,Sat Jun 06 20:16:58 PDT 2009,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing "
1,1823626288,Sat May 16 22:29:51 PDT 2009,@Sheald I'm so up for Round 2 of my weekend of fun and debauchery. 
1,2056643904,Sat Jun 06 11:31:34 PDT 2009,listening to &quot;herbrightskies&quot;. texting. &amp; waiting for a phone call. 
1,1977939340,Sat May 30 22:03:11 PDT 2009,Just a reminder   CBS News Sunday Morning features Dave Matthews Band: May 31st http://tinyurl.com/mblu4s  #dmb
1,2065214189,Sun Jun 07 08:08:15 PDT 2009,"@chadfranz I'm in!  Any night this week except for Tuesday.  Deb's in Florida all week, she'll have to join us next time. "
1,2072226402,Sun Jun 07 20:37:35 PDT 2009,@JoLoPe thanks I will check out the Twitter and self promotion survey results   http://worldofperspective.com
1,1687434279,Sun May 03 08:41:16 PDT 2009,No sleep 26 hours. Two huge lawns to mow. And homework. Lots. But that chick was a cool kid  hit me up tonight if i make it past six...
1,2060276807,Sat Jun 06 18:36:02 PDT 2009,@AnimalPlanet I love Its me or the dog ..great show 
1,1965219412,Fri May 29 15:32:11 PDT 2009,ï¿½ ilson Wilson! boa noite pros q ficam!  fuiz Ruiz! (kkkkkkkkkk #nonsense) []'s
1,1553801538,Sat Apr 18 15:15:01 PDT 2009,I love cute shorts. 
1,1979017312,Sun May 31 01:18:18 PDT 2009,@natluvscupcakes Why so happy for sunday! 
1,1833636304,Sun May 17 23:56:28 PDT 2009,@scraparcs bring it on. I'll demote you on Staff group! 
1,1753518490,Sun May 10 02:02:36 PDT 2009,@Huntley22 haha fucking hell i know ay. shit son he's just making trouble. we could take him. 
1,2050323228,Fri Jun 05 18:27:57 PDT 2009,@selenagomez  Omg Selena! You rock and totally inspire me  Keep living your dream and keep your head held high!
1,1880822665,Fri May 22 02:37:47 PDT 2009,- @nibaq Thanks for letting me know. I'm going to check out Eureka later with this knowledge 
1,1982083209,Sun May 31 10:29:39 PDT 2009,@Katie_Cakes Katiepotatie can I borrow your Desktop Anywhere login to order a macbook pro with HE discount? 
1,1833585533,Sun May 17 23:46:05 PDT 2009,"@kreativlink Good morning, and welcome back "
1,1957252548,Thu May 28 23:57:31 PDT 2009,"Heh. Looked at http://myhandle.com/ per @stephenfry and... as usual, it slams to a halt.  It's going to be a verb soon, like slashdotted."
1,2001141675,Mon Jun 01 23:58:04 PDT 2009,I LOVE THE MOVIE TAKEN ITS SO KICK ASPIRIN LITERALLY.  XD =] 
1,1972561101,Sat May 30 09:27:24 PDT 2009,Cleaning my house...if you want yours cleaned too just call me 
1,1972227730,Sat May 30 08:49:25 PDT 2009,"@sofdlovesbsb aw yeah, thats cute "
1,1753694445,Sun May 10 02:57:16 PDT 2009,"Good night all... Just set this twitter thing up. I'm very new at this, but I expect it to come in handy. "
1,2061892760,Sat Jun 06 21:51:11 PDT 2009,"had a really emotional day at the Krzmarzick wedding!  Lots of laughing, lots of crying-- both great "
1,1982181747,Sun May 31 10:41:31 PDT 2009,@BiggestLoserMat My ex-husband did Hawaii Ironman - make sure you stay hydrated!! He's a doctor &amp; even he &quot;messed&quot; up first time 
1,2069549069,Sun Jun 07 16:04:53 PDT 2009,"@ShellyKramer yep, thats my little girl  they are precious when asleep."
1,1977282588,Sat May 30 20:34:56 PDT 2009,"Today was a great day  Rather Exhausting. In bed, good night!"
1,1881373601,Fri May 22 04:28:27 PDT 2009,@chcoz @ labete Are you guys coming to Fight Camp? 
1,1989767333,Mon Jun 01 02:44:20 PDT 2009,@Gevyjonas Haha thnk u recon its crap :s Haha kates sorry boutt getting tom pissed at u i think...? LOL but toms a kool kiddo 
1,1679107988,Sat May 02 08:33:13 PDT 2009,once upon a dream - emily osment  what a cute song!
1,2014702932,Wed Jun 03 02:24:20 PDT 2009,@khaled hahaha ... WOW too hot !! i wont handle *Egyptian Nationality 
1,2066082928,Sun Jun 07 09:51:21 PDT 2009,Just got back from church. Praise Jesus! Haha i think ill go 2 the mall 4 a bit. 
1,1986448465,Sun May 31 18:50:57 PDT 2009,@NathanBallentin doesn't eat cheese on his burgers??? That may be un-American 
1,1994251316,Mon Jun 01 11:38:54 PDT 2009,@RinnaTheCat 555 à¸à¸²à¸à¸­à¸·à¹à¸à¸­à¸²à¸à¸à¸°à¸à¸­à¸à¸³à¹à¸à¹à¸à¹à¸à¸µà¸¢à¸à¹à¸à¹ à¹?à¸à¹à¸à¸²à¸à¸à¸µà¹à¸ªà¸à¸ªà¸±à¸¢à¸à¹à¸­à¸à¸à¸±à¸à¸à¸¹à¸«à¸¸à¹à¸¡à¸ªà¹à¸à¸ªà¸à¸²à¸à¹à¸à¸µà¸¢à¸§ 
1,2054336194,Sat Jun 06 07:07:31 PDT 2009,@Sianz And Sergio Tacchini  T-shirts 
1,2185012966,Mon Jun 15 16:45:15 PDT 2009,@jokirk1 Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
1,1675756256,Fri May 01 20:15:27 PDT 2009,im gonna take a nice hot shower now...and sing uber loud until someone tells me to shut up 
1,2032693734,Thu Jun 04 11:37:51 PDT 2009,Had graduation rehersal today..tomorrow should be good 
1,2180930999,Mon Jun 15 11:08:09 PDT 2009,@mijomuffins do you have the link to any other pictures from SK? and that isa GREAT shot of him 
1,2049027089,Fri Jun 05 16:10:15 PDT 2009,"Oh, sorry fashion friends...you are too fabulous not to be mentioned in a #ff  @DavidReinke @InsideDVF @Karl_Lagerfeld"
1,1882028808,Fri May 22 06:05:10 PDT 2009,http://twitpic.com/5osyz - me and matthew 
1,2067089203,Sun Jun 07 11:43:38 PDT 2009,@shakeene it managed to hit 54! 
1,2186527110,Mon Jun 15 18:58:08 PDT 2009,The Proposal was a really cute movie! Ryan Reynalds is quite sexy 
1,2048179591,Fri Jun 05 14:47:13 PDT 2009,"@TheEllenShow I think interviewing Kaley Cuoco again would be nice, now she's nominated for an Emmy "
1,2003179826,Tue Jun 02 06:02:24 PDT 2009,@DougSD Cool. Have fun at the park! 
1,2055429168,Sat Jun 06 09:17:59 PDT 2009,@TheRealNobody Freaky fresh 
1,1834558770,Mon May 18 03:23:38 PDT 2009,"@SanderVanDoorn can`t wait to Sunrise Festival in Poland this summer, we all are excited here about your set!get back to health "
1,1793634285,Thu May 14 03:26:33 PDT 2009,@PhitZone LOL! 20mins eh? Whoa! I am envious haha! You guys laugh now but down the road we'll get you back. Enjoy your health info btw 
1,1796174179,Thu May 14 09:00:14 PDT 2009,Woot! Its thursday... Weekend is almost here...learned to retrain my inner voice... 
1,1679913427,Sat May 02 10:28:21 PDT 2009,"@rotjong time flies when your listening to #twitteradio, of is #twitterradio time short "
1,1883642270,Fri May 22 08:52:40 PDT 2009,And i have text messaging back 
1,1999512818,Mon Jun 01 20:20:56 PDT 2009,Brian just made me an awesome krabby patty 
1,1985506059,Sun May 31 17:14:03 PDT 2009,@NyceBilly heeeyyy sexxyyy!!! love tha pic 
1,1996311751,Mon Jun 01 14:52:31 PDT 2009,@girlwithnoname I am doing well.  Just gettin my backyard pool &amp; hottub in shape today. Our @GBTweetUp is this weekend. Fun abounds!
1,1990565546,Mon Jun 01 05:12:05 PDT 2009,@BlackTennisPros There are many surprises this year at the French Open. Some are pretty shocking. 
1,1559842779,Sun Apr 19 12:11:18 PDT 2009,@AZ_Alkmaar No commnts needed    - [Re:] http://mobypicture.com/?8xwyqb
1,1986742978,Sun May 31 19:15:21 PDT 2009,Good night tweets long 24 hrs with my babe. Literally. Love is him and me.  work tomorrow.. My body aches 
1,2186410088,Mon Jun 15 18:47:59 PDT 2009,http://twitpic.com/7ihy4 - old pic; but its still a kiss  @Songzyuuup
1,2061264032,Sat Jun 06 20:30:34 PDT 2009,@maggiephilbin why limit your story to 140 ch. Tell all what is annoying you at www.iamsoannoyed.com 
1,1833589074,Sun May 17 23:46:47 PDT 2009,@sarah29457 ELF has the slowest shipping..I hate waiting lol. They carry ELF at Food4Less in Cali 
1,2176103407,Mon Jun 15 02:55:36 PDT 2009,Great News we have moved from Lge2 to Lge1 on BBC site  http://npprs.tk
1,1932622530,Tue May 26 21:51:09 PDT 2009,@DwightHoward We definitely RESPECT you up in Chicago!!!! Keep up the good work!  
1,1967829449,Fri May 29 20:17:05 PDT 2009,@sanazj Thanks! 
1,2065281873,Sun Jun 07 08:16:20 PDT 2009,Good morning my Tweepies. It's a great morning. I slept until 11 am w/o waking up w/ pain. Lazy lazy Sunday. It feels great to sleep in. 
1,2174565947,Sun Jun 14 22:49:27 PDT 2009,Sorry...Mexican TRAIN shouldn't have lasted that long-and I didn't even come close. Dang family fun nites 
1,1694053854,Mon May 04 00:52:44 PDT 2009,"i'm gonna eat some chips??!! anybody, want some??? hahaha! "
1,2068219615,Sun Jun 07 13:42:19 PDT 2009,me and ellie won our doubles!  singles quarterfinals tomorrow morning! doubles semifinals tomorrow evening!
1,1979254855,Sun May 31 02:15:57 PDT 2009,"@sarahceralvo lurk for charice, great singer and shes filipina, if u havent heard about her yet "
1,1976670657,Sat May 30 18:43:53 PDT 2009,"My thug ass BFF w her Rihanna looking bruise on her face from last night, lalala in @BaBzBeZe's car  http://mypict.me/290k"
1,1970294592,Sat May 30 03:15:52 PDT 2009,guys vote for @mileycyrus now for mtv movie plz 
1,2000382895,Mon Jun 01 21:59:57 PDT 2009,"AWWWW!!!!! Jeremy! You're so sweet buddy  And don't worry, you'll never loose me to someone else "
